DateTime_hr,AssetID,TransactionType,MW,DAMspp,RTMspp,SpreadPred,SpreadReal,Costo_tx_USD
2024-07-22 23:00:00,LSBRP_ZPT2_RN-SP,OFFER,244,22.95,20.42249965667725,8.707935,8.735000225305557,4983.089916229249
2024-07-22 17:00:00,NGBTGCCS_ALL-PT,OFFER,212,24.69,23.5149998664856,24.710293,24.54250015258789,4985.179971694947
2024-07-22 11:00:00,LSBRP_ZPT2_RN-SP,OFFER,255,26.08,19.539999961853027,1.9353571,2.0375000000000014,4982.699990272522
2024-07-23 19:00:00,NGBLV4_UNIT_1-SP,OFFER,145,36.61,34.44250011444092,7.0139284,7.027499637603761,4994.162516593933
2024-07-23 16:00:00,LSDUKE_GST1CCU-PT,OFFER,224,23.49,22.299999713897705,16.048468,16.085000295639038,4995.199935913086
2024-07-23 16:00:00,NGBTGCCS_ALL-PT,OFFER,224,23.26,22.299999713897705,8.128259,8.147500081062317,4995.199935913086
2024-07-23 02:00:00,NGBLASSO_GEN-PT,BID,67,74.14,89.26999855041504,27.433098,27.72499919891357,4967.38
2024-07-23 23:00:00,LSAZURE_RN-PT,BID,275,18.18,18.61000061035156,10.348172,10.452499904632568,4999.5
2024-07-23 00:00:00,NGBLASSO_GEN-PT,BID,75,66.65,73.44749927520752,30.523026,30.810000381469727,4998.75
2024-07-23 01:00:00,LSDUKE_GST1CCU-PT,OFFER,291,21.19,17.147500038146973,15.979515,16.2774999499321,4989.922511100769
2024-07-23 01:00:00,LSAZURE_RN-PT,BID,269,18.55,29.51500034332276,7.893742,8.050000152587891,4989.95
2024-07-23 23:00:00,LSTHW_1_CCU-PT,BID,241,20.73,21.147500038146973,2.6681068,2.7424995422363274,4995.93
2024-07-23 16:00:00,NGBCAL_PUN2-PT,OFFER,224,23.26,22.299999713897705,4.13792,4.037499580383301,4995.199935913086
2024-07-24 08:00:00,LSLASSO_GEN-PT,BID,269,18.57,22.74250030517578,51.366524,51.40250030566007,4995.33
2024-07-24 00:00:00,NGBLASSO_GEN-PT,BID,101,49.47,56.40499973297119,30.498953,30.810000381469727,4996.47
2024-07-24 02:00:00,LSBRIGHTSD_RN-SP,BID,255,19.59,21.547500133514404,2.213845,2.25249994277954,4995.45
2024-07-24 23:00:00,LSAZURE_RN-PT,BID,282,17.71,21.802499771118164,10.336173,10.452499904632568,4994.22
2024-07-24 23:00:00,LSTHW_1_CCU-PT,BID,251,19.89,22.605000019073486,2.664355,2.7424995422363274,4992.39
2024-07-24 02:00:00,NGBLASSO_GEN-PT,BID,101,49.13,56.132500648498535,27.431185,27.72499919891357,4962.13
2024-07-24 05:00:00,LSBRIGHTSD_RN-SP,BID,243,20.55,23.99500036239624,5.3570237,5.412499637603759,4993.650000000001
